gene_symbol	STAG2(fl/fl)_#1	STAG2(fl/fl)_#2	STAG2(fl/fl)_#3	Fonx1-cre(+/-).STAG2(fl/fl)_#1	Fonx1-cre(+/-).STAG2(fl/fl)_#2	Fonx1-cre(+/-).STAG2(fl/fl)_#3	Fonx1-cre(+/-).STAG2(fl/fl)_#4	STAG2(fl/fl).Aire(-/-)_#1	STAG2(fl/fl).Aire(-/-)_#2	STAG2(fl/fl).Aire(-/-)_#3	Foxn1-cre(+/-).STAG2(fl/fl).Aire(-/-)_#1	Foxn1-cre(+/-).STAG2(fl/fl).Aire(-/-)_#2	Foxn1-cre(+/-).STAG2(fl/fl).Aire(-/-)_#3
0610005C13Rik	7	18	22	4	22	14	4	3	6	28	4	11	6
0610006L08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009B22Rik	155	253	156	199	180	98	112	114	171	246	188	98	124
0610009E02Rik	3	8	8	3	1	4	4	3	4	6	11	2	0
0610009L18Rik	6	21	11	20	8	23	15	19	13	15	13	11	5
0610009O20Rik	161	268	169	258	199	153	127	127	156	238	185	138	102
0610010F05Rik	256	260	268	254	262	114	195	277	286	356	370	288	202
0610010K14Rik	6	19	6	18	20	8	6	4	4	15	14	1	11
0610012D04Rik	4	12	8	0	2	2	6	6	3	4	2	3	6
0610012G03Rik	144	316	160	214	228	130	135	112	171	208	162	111	91
0610025J13Rik	2	4	12	6	10	2	0	11	20	22	15	6	9
0610030E20Rik	151	302	208	303	200	189	115	129	193	311	269	119	117
0610031O16Rik	0	0	3	4	0	2	0	0	0	1	0	0	0
0610033M10Rik	7	2	4	3	8	3	4	2	7	25	8	0	4
0610037L13Rik	206	355	177	217	330	161	156	93	177	297	273	97	125
0610038B21Rik	6	3	3	15	4	5	8	1	4	6	11	0	2
0610039K10Rik	1	0	0	0	4	3	1	1	1	1	1	0	1
0610040B10Rik	16	39	19	9	16	6	11	14	39	61	21	18	15
0610040F04Rik	2	5	1	0	0	0	0	1	1	5	2	0	0
0610040J01Rik	25	27	23	50	43	9	17	13	19	13	19	0	5
0610043K17Rik	14	21	21	9	15	16	8	17	20	32	24	16	14
1010001B22Rik	0	0	0	1	0	0	0	3	0	1	1	0	1
1010001N08Rik	0	0	0	0	8	0	0	0	0	0	0	0	0
1110002E22Rik	74	83	70	27	4	26	40	85	96	199	156	167	132
1110002J07Rik	27	12	16	21	73	22	17	35	24	58	31	34	43
1110002L01Rik	18	19	26	21	29	11	4	19	27	40	30	14	14
1110002O04Rik	3	0	0	0	0	2	0	0	0	0	0	0	1
1110003F10Rik	5	5	2	3	5	1	0	7	0	10	6	1	0
1110004E09Rik	167	375	345	301	283	252	263	94	121	117	152	144	105
1110004F10Rik	497	903	516	631	738	404	395	371	447	860	725	451	371
1110006O24Rik	10	13	18	10	8	3	12	5	8	6	3	3	13
