gene	SRR2038194	SRR2038195	SRR2038196	SRR2038197
Xkr4	602	676	685	338
Rp1	32	30	7	8
Sox17	33	27	4	0
Mrpl15	661	929	856	579
Lypla1	893	1232	1625	770
Tcea1	603	693	1102	589
Rgs20	474	782	1395	735
Atp6v1h	2565	3619	3720	2207
Oprk1	10	21	0	0
Npbwr1	79	149	38	20
Rb1cc1	1203	1582	1507	807
Fam150a	2	4	1	0
St18	121	168	39	55
Pcmtd1	1164	1714	2662	1422
Sntg1	52	74	68	38
Rrs1	610	913	819	423
Adhfe1	43	54	70	41
2610203C22Rik	9	12	3	1
3110035E14Rik	46	54	21	8
Mybl1	120	171	82	58
Vcpip1	1164	1533	1792	915
1700034P13Rik	13	26	15	8
Sgk3	2527	3676	5211	3194
6030422M02Rik	50	50	58	43
Snhg6	657	729	1052	491
Snord87	8	7	7	6
Ppp1r42	22	26	9	5
Cops5	1695	2210	2324	1124
Cspp1	1030	1539	1666	1055
Arfgef1	4935	6843	7549	3793
Cpa6	1	3	4	0
Mir467e	0	1	0	0
Prex2	157	214	103	77
A830018L16Rik	182	266	542	300
4932411L15	2	2	1	1
Sulf1	626	752	879	563
Slco5a1	8970	12570	21915	11674
Prdm14	193	220	16	8
Ncoa2	4447	5437	8413	4090
Tram1	1265	1938	2181	1256
Lactb2	245	409	365	218
Xkr9	171	361	456	380
Gm5523	5	15	5	6
Eya1	858	1301	1468	908
Msc	1868	4294	3168	2937
Trpa1	183	315	12	6
Kcnb2	72	68	19	5
Terf1	256	427	260	212
Gm106	10	15	1	0
4930444P10Rik	11	23	0	1
Rpl7	4660	5962	7717	4756
Rdh10	1105	1316	1708	886
Stau2	818	1080	2212	1363
Ube2w	573	828	856	514
Tceb1	1432	1524	1992	848
D030040B21Rik	7	6	20	1
Tmem70	1000	1401	1402	746
Ly96	75	97	98	40
Jph1	3679	5602	16280	8938
Gdap1	242	318	418	265
Pi15	58	65	20	14
Crispld1	227	338	244	164
Crisp4	1	2	0	0
Defb44-ps	0	0	0	0
Defb18	0	1	0	0
Defb41	9	6	0	0
Gm15386	0	0	0	0
Tfap2d	53	98	16	5
Tfap2b	4708	8251	3017	1728
Pkhd1	256	388	11	9
4930486I03Rik	2	0	0	0
Mir206	0	0	0	0
